100m Medley,25m,1:27.91,265,9 Jan 2016,Perth,Mike Brown Invitational,Medley,100
200m Medley,25m,2:23.72,609,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Medley,200
400m Medley,25m,5:19.35,533,21 Oct 2018,Nepean,NKB Fall Invitational,Medley,400
50m Freestyle,25m,26.46,650,1 Feb 2020,Nepean,Eastern Ontario Regional ...,Freestyle,50
100m Freestyle,25m,57.06,682,2 Feb 2020,Nepean,Eastern Ontario Regional ...,Freestyle,100
200m Freestyle,25m,2:03.44,713,31 Jan 2020,Nepean,Eastern Ontario Regional ...,Freestyle,200
400m Freestyle,25m,4:29.72,652,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Freestyle,400
800m Freestyle,25m,9:25.00,610,3 Feb 2018,Belleville,Eastern Ontario Regional SC ...,Freestyle,800
1500m Freestyle,25m,18:05.41,605,4 Feb 2018,Belleville,Eastern Ontario Regional SC ...,Freestyle,1500
50m Butterfly,25m,29.28,577,14 Dec 2019,Toronto,Ontario Junior International,Butterfly,50
100m Butterfly,25m,1:05.49,579,31 Jan 2020,Nepean,Eastern Ontario Regional ...,Butterfly,100
200m Butterfly,25m,2:50.07,347,26 Nov 2017,Montreal-Nord,Invitation provinciale 13 ans et ...,Butterfly,200
50m Breaststroke,25m,53.38,153,21 Feb 2015,Ottawa,SWOTT "Swim to the Beat" ...,Breaststroke,50
100m Breaststroke,25m,1:22.66,429,21 Oct 2018,Nepean,NKB Fall Invitational,Breaststroke,100
200m Breaststroke,25m,3:03.68,393,4 Nov 2017,Ottawa,ROCS Duel Meet,Breaststroke,200
50m Backstroke,25m,30.03,595,13 Dec 2019,Toronto,Ontario Junior International,Backstroke,50
100m Backstroke,25m,1:06.40,564,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Backstroke,100
200m Backstroke,25m,2:21.54,593,2 Feb 2019,Nepean,Eastern Ontario Regional ...,Backstroke,200
200m Medley,50m,2:28.49,612,3 Mar 2019,Etobicoke,Spring Ontario Swimming ...,Medley,200
400m Medley,50m,5:25.31,548,13 May 2018,Nepean,Festival of Spring,Medley,400
50m Freestyle,50m,26.94,678,4 Jun 2022,Nepean,Eastern Ontario Regional ...,Freestyle,50
100m Freestyle,50m,57.84,714,29 Jul 2022,Montreal,Canadian Junior & Senior ...,Freestyle,100
200m Freestyle,50m,2:04.66,744,27 Jul 2022,Montreal,Canadian Junior & Senior ...,Freestyle,200
400m Freestyle,50m,4:31.36,661,1 Jul 2018,Etobicoke,Ontario Summer Provincial ...,Freestyle,400
800m Freestyle,50m,9:42.54,576,28 Jun 2018,Etobicoke,Ontario Summer Provincial ...,Freestyle,800
1500m Freestyle,50m,18:33.28,565,2 Mar 2018,Etobicoke,Ontario Spring Provincial ...,Freestyle,1500
50m Butterfly,50m,28.31,642,4 Jun 2022,Nepean,Eastern Ontario Regional ...,Butterfly,50
100m Butterfly,50m,1:06.48,581,1 Mar 2019,Etobicoke,Spring Ontario Swimming ...,Butterfly,100
200m Butterfly,50m,2:45.33,399,3 Jun 2018,Nepean,Eastern Ontario Long Course ...,Butterfly,200
50m Breaststroke,50m,53.50,164,11 Apr 2015,Ottawa,3rd Annual Go The Distance and Long ...,Breaststroke,50
100m Breaststroke,50m,1:25.23,425,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Breaststroke,100
50m Backstroke,50m,34.33,485,9 Dec 2017,Pointe-Claire,Invitation Provinciale AA-AAA ...,Backstroke,50
100m Backstroke,50m,1:08.50,589,28 Feb 2019,Etobicoke,Spring Ontario Swimming ...,Backstroke,100
200m Backstroke,50m,2:26.64,595,2 Feb 2019,Nepean,Eastern Ontario Regional ...,Backstroke,200
