100m Medley,25m,1:32.00,153,24 May 2015,Kingston,May Wind-up Qualifier,Medley,100
200m Medley,25m,2:15.20,533,28 Nov 2021,Halifax,Dalhousie Kemp-Fry AUS ...,Medley,200
400m Medley,25m,5:14.06,417,8 Dec 2017,Pointe-Claire,Invitation Provinciale AA-AAA ...,Medley,400
50m Freestyle,25m,25.17,513,6 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,50
100m Freestyle,25m,52.50,623,13 Mar 2022,Halifax,AUS Subway Swimming Championships,Freestyle,100
200m Freestyle,25m,2:04.14,512,30 Oct 2021,Fredericton,Amby Leger,Freestyle,200
400m Freestyle,25m,4:25.68,509,19 Oct 2019,Nepean,NKB Fall Invitational,Freestyle,400
800m Freestyle,25m,9:19.05,498,4 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Freestyle,800
1500m Freestyle,25m,17:38.58,512,5 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Freestyle,1500
50m Butterfly,25m,25.39,628,25 Nov 2022,Halifax,AUS Kemp Fry Invitational,Butterfly,50
100m Butterfly,25m,55.10,652,11 Feb 2023,St. John's,AUS Mini Meet,Butterfly,100
200m Butterfly,25m,2:03.83,667,12 Feb 2023,St. John's,Subway AUS Swimming Championships,Butterfly,200
50m Breaststroke,25m,48.15,139,22 Feb 2015,Ottawa,GO Kingfish Gee Gee Invitational,Breaststroke,50
100m Breaststroke,25m,1:23.60,289,21 Oct 2018,Nepean,NKB Fall Invitational,Breaststroke,100
200m Breaststroke,25m,3:06.36,268,20 Oct 2018,Nepean,NKB Fall Invitational,Breaststroke,200
50m Backstroke,25m,26.88,564,24 Feb 2023,Victoria,USPORTS Swimming Championships,Backstroke,50
100m Backstroke,25m,56.96,610,10 Feb 2023,St. John's,Subway AUS Swimming Championships,Backstroke,100
200m Backstroke,25m,2:13.24,498,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Backstroke,200
200m Medley,50m,2:30.72,432,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Medley,200
400m Medley,50m,5:21.91,434,2 Mar 2018,Etobicoke,Ontario Spring Provincial ...,Medley,400
50m Freestyle,50m,26.49,491,13 May 2022,Nepean,NKB Festival of Spring,Freestyle,50
100m Freestyle,50m,56.27,579,2 Feb 2020,Nepean,Eastern Ontario Regional ...,Freestyle,100
200m Freestyle,50m,2:07.07,517,7 Mar 2019,Unionville,Spring Ontario Youth-Junior ...,Freestyle,200
400m Freestyle,50m,4:25.98,566,31 May 2019,Nepean,Eastern Ontario Regional Long ...,Freestyle,400
800m Freestyle,50m,9:05.60,569,4 Jul 2019,Halifax,Nova Scotia Ken Dunn Provincial ...,Freestyle,800
1500m Freestyle,50m,17:20.44,586,5 Dec 2019,Pointe-Claire,Invitation decembre ...,Freestyle,1500
50m Butterfly,50m,26.63,584,1 Feb 2020,Nepean,Eastern Ontario Regional ...,Butterfly,50
100m Butterfly,50m,58.24,612,31 Jan 2020,Nepean,Eastern Ontario Regional ...,Butterfly,100
200m Butterfly,50m,2:10.33,613,25 Feb 2023,Victoria,USPORTS Swimming Championships,Butterfly,200
50m Breaststroke,50m,45.03,191,10 Apr 2016,Nepean,OYO Long Course Invitational,Breaststroke,50
100m Breaststroke,50m,1:28.03,269,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Breaststroke,100
200m Breaststroke,50m,3:13.60,276,11 May 2018,Nepean,Festival of Spring,Breaststroke,200
50m Backstroke,50m,30.31,484,9 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Backstroke,50
100m Backstroke,50m,1:05.40,498,7 Mar 2019,Unionville,Spring Ontario Youth-Junior ...,Backstroke,100
200m Backstroke,50m,2:26.57,445,10 Mar 2019,Unionville,Spring Ontario Youth-Junior ...,Backstroke,200
