Young Age,14
Old Age,17

Event,14,15,16,17,14,15,16,17,14,15,16,17,14,15,16,17
50 Free,,,,,00:26.81,00:26.18,00:25.79,00:25.05,,,,,0,0,0,0
100 Free,,,,,00:58.41,00:56.84,00:56.00,00:54.87,,,,,0,0,0,0
200 Free,,,,,02:08.09,02:04.64,02:02.45,01:58.84,,,,,0,0,0,0
400 Free,,,,,04:34.10,04:26.86,04:22.00,04:15.64,,,,,0,0,0,0
800 Free,,,,,09:32.09,09:19.91,09:11.24,09:05.03,,,,,0,0,0,0
1500 Free,,,,,18:22.36,17:54.42,17:38.13,17:09.05,,,,,0,0,0,0
50 Back,,,,,00:29.29,00:29.29,00:29.29,00:29.29,,,,,3,2,1,0
100 Back,,,,,01:06.48,01:04.70,01:03.58,01:01.49,,,,,0,0,0,0
200 Back,,,,,02:24.37,02:20.90,02:18.47,02:14.32,,,,,0,0,0,0
50 Breast,,,,,00:31.80,00:31.80,00:31.80,00:31.80,,,,,3,2,1,0
100 Breast,,,,,01:15.23,01:13.00,01:11.66,01:09.74,,,,,0,0,0,0
200 Breast,,,,,02:44.66,02:39.64,02:36.85,02:32.04,,,,,0,0,0,0
50 Fly,,,,,00:27.24,00:27.24,00:27.24,00:27.24,,,,,3,2,1,0
100 Fly,,,,,01:04.07,01:02.06,01:01.00,00:59.19,,,,,0,0,0,0
200 Fly,,,,,02:26.40,02:21.40,02:18.39,02:13.50,,,,,0,0,0,0
100 IM
200 IM,,,,,02:25.17,02:21.50,02:19.03,02:14.85,,,,,0,0,0,0
400 IM,,,,,05:11.94,05:03.33,04:58.77,04:50.33,,,,,0,0,0,0
