Young Age,15
Old Age,18

Event,15,16,17,18,15,16,17,18
50 Free,,,,,26.93,26.32,25.84,25.41,0,0,0,0,0,0,0,0
100 Free,,,,,58.64,57.04,56.08,55.01,0,0,0,0,0,0,0,0
200 Free,,,,,2:08.51,2:04.74,2:02.54,1:59.96,0,0,0,0,0,0,0,0
400 Free,,,,,4:35.16,4:27.67,4:21.94,4:17.68,0,0,0,0,0,0,0,0
800 Free,,,,,4:35.16,4:35.16,4:35.16,4:35.16,3,2,1,0,3,2,1,0
1500 Free,,,,,18:23.47,17:52.36,17:38.65,17:21.94,0,0,0,0,0,0,0,0
50 Back,,,,,29.57,29.57,29.57,29.57,3,2,1,0,3,2,1,0
100 Back,,,,,1:07.25,1:05.01,1:03.88,1:02.52,0,0,0,0,0,0,0,0
200 Back,,,,,2:26.06,2:21.37,2:18.39,2:16.23,0,0,0,0,0,0,0,0
50 Breast,,,,,32.11,32.11,32.11,32.11,3,2,1,0,3,2,1,0
100 Breast,,,,,1:16.12,1:13.77,1:12.25,1:11.04,0,0,0,0,0,0,0,0
200 Breast,,,,,2:46.16,2:40.64,2:37.77,2:34.92,0,0,0,0,0,0,0,0
50 Fly,,,,,27.50,27.50,27.50,27.50,3,2,1,0,3,2,1,0
100 Fly,,,,,1:04.81,1:02.50,1:01.22,1:00.03,0,0,0,0,0,0,0,0
200 Fly,,,,,2:27.68,2:22.13,2:18.41,2:14.86,0,0,0,0,0,0,0,0
200 IM,,,,,2:25.93,2:22.13,2:19.24,2:16.12,0,0,0,0,0,0,0,0
400 IM,,,,,5:13.34,5:03.95,4:58.51,4:53.70,0,0,0,0,0,0,0,0
