Young Age,14
Old Age,17

Event,14,15,16,17,14,15,16,17,14,15,16,17,14,15,16,17
50 Free,27.95,27.75,27.25,27.05,28.52,28.32,27.81,27.60,0,0,0,0,0,0,0,0
100 Free,1:00.54,1:00.03,58.77,58.13,1:01.78,1:01.26,59.97,59.32,0,0,0,0,0,0,0,0
200 Free,2:11.47,2:09.99,2:07.09,2:06.16,2:14.15,2:12.64,2:09.68,2:08.73,0,0,0,0,0,0,0,0
400 Free,4:39.25,4:36.47,4:30.34,4:27.71,4:44.95,4:42.11,4:35.86,4:33.17,0,0,0,0,0,0,0,0
800 Free,9:40.83,9:32.69,9:19.05,9:16.31,9:52.68,9:44.38,9:30.46,9:27.66,0,0,0,0,0,0,0,0
1500 Free,18:36.32,18:23.70,18:02.84,17:52.01,18:59.10,18:46.22,18:24.94,18:13.89,0,0,0,0,0,0,0,0
100 Back,1:08.51,1:07.57,1:06.17,1:06.17,1:09.91,1:08.95,1:07.52,1:07.52,0,0,0,0,0,0,0,0
200 Back,2:28.07,2:25.94,2:22.79,2:22.37,2:31.09,2:28.92,2:25.70,2:25.28,0,0,0,0,0,0,0,0
100 Breast,1:18.00,1:17.47,1:15.50,1:14.59,1:19.59,1:19.05,1:17.04,1:16.11,0,0,0,0,0,0,0,0
200 Breast,2:48.36,2:47.15,2:42.27,2:41.20,2:51.80,2:50.56,2:45.58,2:44.49,0,0,0,0,0,0,0,0
100 Fly,1:06.70,1:05.83,1:04.35,1:03.51,1:08.06,1:07.17,1:05.66,1:04.81,0,0,0,0,0,0,0,0
200 Fly,2:31.08,2:29.15,2:24.06,2:21.26,2:34.16,2:32.19,2:27.00,2:24.14,0,0,0,0,0,0,0,0
200 IM,2:29.19,2:28.00,2:24.46,2:23.64,2:32.23,2:31.02,2:27.41,2:26.57,0,0,0,0,0,0,0,0
400 IM,5:18.54,5:14.10,5:07.47,5:05.15,5:25.04,5:20.51,5:13.74,5:11.38,0,0,0,0,0,0,0,0
