Young Age,13
Old Age,16

Event,13,14,15,16,13,14,15,16,13,14,15,16,13,14,15,16
50 Free,,,,,00:28.62,00:28.10,00:27.90,00:27.40,,,,,0,0,0,0
100 Free,,,,,01:02.40,01:00.87,01:00.35,00:59.08,,,,,0,0,0,0
200 Free,,,,,02:15.69,02:12.17,02:10.68,02:07.76,,,,,0,0,0,0
400 Free,,,,,04:47.47,04:40.74,04:37.94,04:31.78,,,,,0,0,0,0
800 Free,,,,,09:58.35,09:43.92,09:35.74,09:22.03,,,,,0,0,0,0
1500 Free,,,,,19:44.48,19:05.29,18:47.61,18:13.31,,,,,0,0,0,0
50 Back
100 Back,,,,,01:11.00,01:08.88,01:07.93,01:06.52,,,,,0,0,0,0
200 Back,,,,,02:32.97,02:28.86,02:26.72,02:23.55,,,,,0,0,0,0
50 Breast
100 Breast,,,,,01:20.36,01:18.41,01:17.88,01:15.90,,,,,0,0,0,0
200 Breast,,,,,02:54.03,02:49.26,02:48.04,02:43.13,,,,,0,0,0,0
50 Fly
100 Fly,,,,,01:08.92,01:07.05,01:06.18,01:04.69,,,,,0,0,0,0
200 Fly,,,,,02:37.04,02:31.88,02:29.94,02:24.83,,,,,0,0,0,0
100 IM
200 IM,,,,,02:33.71,02:29.98,02:28.79,02:25.23,,,,,0,0,0,0
400 IM,,,,,05:27.24,05:20.24,05:15.77,05:09.10,,,,,0,0,0,0
