Old Age  :Young Age:Enter 'SC' times? (Y/n)Enter 'LC' times? (Y/n)Aged: 19
50 Free    : 50 Free    : 00:24.17     00:24.17
100 Free   : 100 Free   : 00:52.60     00:52.60
200 Free   : 200 Free   : 01:54.97     01:54.97
400 Free   : 400 Free   : 04:06.18     04:06.18
800 Free   : 800 Free   : 08:45.62     08:45.62
1500 Free  : 1500 Free  : 16:35.66     16:35.66
50 Back    : 50 Back    : 00:27.90     00:27.90
100 Back   : 100 Back   : 00:59.63     00:59.63
200 Back   : 200 Back   : 02:10.19     02:10.19
50 Breast  : 50 Breast  : 00:30.29     00:30.29
100 Breast : 100 Breast : 01:06.29     01:06.29
200 Breast : 200 Breast : 02:24.62     02:24.62
50 Fly     : 50 Fly     : 00:25.89     00:25.89
100 Fly    : 100 Fly    : 00:56.96     00:56.96
200 Fly    : 200 Fly    : 02:08.07     02:08.07
100 IM     : 100 IM     : 00:00.00     00:00.00
200 IM     : 200 IM     : 02:10.84     02:10.84
400 IM     : 400 IM     : 04:41.82     04:41.82
Aged: 18
50 Free    : 50 Free    : 00:24.48     00:24.48
100 Free   : 100 Free   : 00:53.40     00:53.40
200 Free   : 200 Free   : 01:56.46     01:56.46
400 Free   : 400 Free   : 04:06.95     04:06.95
800 Free   : 800 Free   : 08:45.62     08:45.62
1500 Free  : 1500 Free  : 16:35.66     16:35.66
50 Back    : 50 Back    : 00:00.00     00:00.00
100 Back   : 100 Back   : 00:59.63     00:59.63
200 Back   : 200 Back   : 02:10.48     02:10.48
50 Breast  : 50 Breast  : 00:00.00     00:00.00
100 Breast : 100 Breast : 01:07.11     01:07.11
200 Breast : 200 Breast : 02:27.22     02:27.22
50 Fly     : 50 Fly     : 00:00.00     00:00.00
100 Fly    : 100 Fly    : 00:57.60     00:57.60
200 Fly    : 200 Fly    : 02:09.71     02:09.71
100 IM     : 100 IM     : 00:00.00     00:00.00
200 IM     : 200 IM     : 02:12.21     02:12.21
400 IM     : 400 IM     : 04:43.25     04:43.25
Aged: 17
50 Free    : 50 Free    : 00:24.48     00:24.48
100 Free   : 100 Free   : 00:53.77     00:53.77
200 Free   : 200 Free   : 01:58.92     01:58.92
400 Free   : 400 Free   : 04:13.57     04:13.57
800 Free   : 800 Free   : 08:53.06     08:53.06
1500 Free  : 1500 Free  : 16:50.45     16:50.45
50 Back    : 50 Back    : 00:00.00     00:00.00
100 Back   : 100 Back   : 00:59.91     00:59.91
200 Back   : 200 Back   : 02:10.49     02:10.49
50 Breast  : 50 Breast  : 00:00.00     00:00.00
100 Breast : 100 Breast : 01:08.39     01:08.39
200 Breast : 200 Breast : 02:28.27     02:28.27
50 Fly     : 50 Fly     : 00:00.00     00:00.00
100 Fly    : 100 Fly    : 00:58.74     00:58.74
200 Fly    : 200 Fly    : 02:14.55     02:14.55
100 IM     : 100 IM     : 00:00.00     00:00.00
200 IM     : 200 IM     : 02:13.25     02:13.25
400 IM     : 400 IM     : 04:43.72     04:43.72
Aged: 16
50 Free    : 50 Free    : 00:25.11     00:25.11
100 Free   : 100 Free   : 00:55.00     00:55.00
200 Free   : 200 Free   : 01:59.85     01:59.85
400 Free   : 400 Free   : 04:18.02     04:18.02
800 Free   : 800 Free   : 09:05.21     09:05.21
1500 Free  : 1500 Free  : 17:02.43     17:02.43
50 Back    : 50 Back    : 00:00.00     00:00.00
100 Back   : 100 Back   : 01:02.12     01:02.12
200 Back   : 200 Back   : 02:15.20     02:15.20
50 Breast  : 50 Breast  : 00:00.00     00:00.00
100 Breast : 100 Breast : 01:08.90     01:08.90
200 Breast : 200 Breast : 02:31.79     02:31.79
50 Fly     : 50 Fly     : 00:00.00     00:00.00
100 Fly    : 100 Fly    : 00:59.34     00:59.34
200 Fly    : 200 Fly    : 02:14.83     02:14.83
100 IM     : 100 IM     : 00:00.00     00:00.00
200 IM     : 200 IM     : 02:14.40     02:14.40
400 IM     : 400 IM     : 04:47.90     04:47.90
Aged: 15
50 Free    : 50 Free    : 00:26.32     00:26.32
100 Free   : 100 Free   : 00:57.23     00:57.23
200 Free   : 200 Free   : 02:04.49     02:04.49
400 Free   : 400 Free   : 04:23.22     04:23.22
800 Free   : 800 Free   : 09:19.11     09:19.11
1500 Free  : 1500 Free  : 17:33.18     17:33.18
50 Back    : 50 Back    : 00:00.00     00:00.00
100 Back   : 100 Back   : 01:04.73     01:04.73
200 Back   : 200 Back   : 02:19.34     02:19.34
50 Breast  : 50 Breast  : 00:00.00     00:00.00
100 Breast : 100 Breast : 01:12.89     01:12.89
200 Breast : 200 Breast : 02:36.98     02:36.98
50 Fly     : 50 Fly     : 00:00.00     00:00.00
100 Fly    : 100 Fly    : 01:03.05     01:03.05
200 Fly    : 200 Fly    : 02:23.89     02:23.89
100 IM     : 100 IM     : 00:00.00     00:00.00
200 IM     : 200 IM     : 02:20.76     02:20.76
400 IM     : 400 IM     : 04:58.61     04:58.61
Young Age,15
Old Age,19

Event,15,16,17,18,19,15,16,17,18,19,15,16,17,18,19,15,16,17,18,19
50 Free,,,,,,00:26.32,00:25.11,00:24.48,00:24.48,00:24.17,,,,,,0,0,0,0,0
100 Free,,,,,,00:57.23,00:55.00,00:53.77,00:53.40,00:52.60,,,,,,0,0,0,0,0
200 Free,,,,,,02:04.49,01:59.85,01:58.92,01:56.46,01:54.97,,,,,,0,0,0,0,0
400 Free,,,,,,04:23.22,04:18.02,04:13.57,04:06.95,04:06.18,,,,,,0,0,0,0,0
800 Free,,,,,,09:19.11,09:05.21,08:53.06,08:45.62,08:45.62,,,,,,0,0,0,0,0
1500 Free,,,,,,17:33.18,17:02.43,16:50.45,16:35.66,16:35.66,,,,,,0,0,0,0,0
50 Back,,,,,,00:27.90,00:27.90,00:27.90,00:27.90,00:27.90,,,,,,4,3,2,1,0
100 Back,,,,,,01:04.73,01:02.12,00:59.91,00:59.63,00:59.63,,,,,,0,0,0,0,0
200 Back,,,,,,02:19.34,02:15.20,02:10.49,02:10.48,02:10.19,,,,,,0,0,0,0,0
50 Breast,,,,,,00:30.29,00:30.29,00:30.29,00:30.29,00:30.29,,,,,,4,3,2,1,0
100 Breast,,,,,,01:12.89,01:08.90,01:08.39,01:07.11,01:06.29,,,,,,0,0,0,0,0
200 Breast,,,,,,02:36.98,02:31.79,02:28.27,02:27.22,02:24.62,,,,,,0,0,0,0,0
50 Fly,,,,,,00:25.89,00:25.89,00:25.89,00:25.89,00:25.89,,,,,,4,3,2,1,0
100 Fly,,,,,,01:03.05,00:59.34,00:58.74,00:57.60,00:56.96,,,,,,0,0,0,0,0
200 Fly,,,,,,02:23.89,02:14.83,02:14.55,02:09.71,02:08.07,,,,,,0,0,0,0,0
100 IM
200 IM,,,,,,02:20.76,02:14.40,02:13.25,02:12.21,02:10.84,,,,,,0,0,0,0,0
400 IM,,,,,,04:58.61,04:47.90,04:43.72,04:43.25,04:41.82,,,,,,0,0,0,0,0
