Young Age,13
Old Age,16

Event,13,14,15,16,13,14,15,16,13,14,15,16,13,14,15,16,
50 Free,,,,,00:29.03,00:28.42,00:28.20,00:27.84,,,,,0,0,0,0,
100 Free,,,,,01:03.15,01:01.79,01:01.08,01:00.12,,,,,0,0,0,0,
200 Free,,,,,02:17.48,02:14.08,02:12.41,02:10.12,,,,,0,0,0,0,
400 Free,,,,,04:51.05,04:44.74,04:41.63,04:37.06,,,,,0,0,0,0,
800 Free,,,,,09:57.39,09:49.52,09:40.96,09:32.66,,,,,0,0,0,0,
1500 Free,,,,,19:12.10,18:54.84,18:52.43,18:23.18,,,,,0,0,0,0,
50 Back,,,,,00:32.40,00:32.40,00:32.40,00:32.40,,,,,3,2,1,0,
100 Back,,,,,01:11.60,01:09.63,01:08.75,01:07.29,,,,,0,0,0,0,
200 Back,,,,,02:34.56,02:30.61,02:28.63,02:25.83,,,,,0,0,0,0,
50 Breast,,,,,00:35.97,00:35.97,00:35.97,00:35.97,,,,,3,2,1,0,
100 Breast,,,,,01:21.62,01:19.11,01:18.44,01:17.30,,,,,0,0,0,0,
200 Breast,,,,,02:56.58,02:51.49,02:50.18,02:46.06,,,,,0,0,0,0,
50 Fly,,,,,00:30.22,00:30.22,00:30.22,00:30.22,,,,,3,2,1,0,
100 Fly,,,,,01:09.48,01:07.80,01:06.76,01:05.64,,,,,0,0,0,0,
200 Fly,,,,,02:37.97,02:33.09,02:30.89,02:27.29,,,,,0,0,0,0,
100 IM,,,,,,,,,,,,,,,,,
200 IM,,,,,02:35.76,02:32.57,02:30.38,02:27.80,,,,,0,0,0,0,
400 IM,,,,,05:32.23,05:24.53,05:19.75,05:14.60,,,,,0,0,0,0,
