Young Age,15
Old Age,19

Event,15,16,17,18,19,15,16,17,18,19,15,16,17,18,19,15,16,17,18,19
50 Free,,,,,,00:26.32,00:25.11,00:24.48,00:24.48,00:24.17,,,,,,0,0,0,0,0
100 Free,,,,,,00:57.23,00:55.00,00:53.77,00:53.40,00:52.60,,,,,,0,0,0,0,0
200 Free,,,,,,02:04.49,01:59.85,01:58.92,01:56.46,01:54.97,,,,,,0,0,0,0,0
400 Free,,,,,,04:23.22,04:18.02,04:13.57,04:06.95,04:06.18,,,,,,0,0,0,0,0
800 Free,,,,,,09:19.11,09:05.21,08:53.06,08:45.62,08:45.62,,,,,,0,0,0,0,0
1500 Free,,,,,,17:33.18,17:02.43,16:50.45,16:35.66,16:35.66,,,,,,0,0,0,0,0
50 Back,,,,,,00:27.90,00:27.90,00:27.90,00:27.90,00:27.90,,,,,,4,3,2,1,0
100 Back,,,,,,01:04.73,01:02.12,00:59.91,00:59.63,00:59.63,,,,,,0,0,0,0,0
200 Back,,,,,,02:19.34,02:15.20,02:10.49,02:10.48,02:10.19,,,,,,0,0,0,0,0
50 Breast,,,,,,00:30.29,00:30.29,00:30.29,00:30.29,00:30.29,,,,,,4,3,2,1,0
100 Breast,,,,,,01:12.89,01:08.90,01:08.39,01:07.11,01:06.29,,,,,,0,0,0,0,0
200 Breast,,,,,,02:36.98,02:31.79,02:28.27,02:27.22,02:24.62,,,,,,0,0,0,0,0
50 Fly,,,,,,00:25.89,00:25.89,00:25.89,00:25.89,00:25.89,,,,,,4,3,2,1,0
100 Fly,,,,,,01:03.05,00:59.34,00:58.74,00:57.60,00:56.96,,,,,,0,0,0,0,0
200 Fly,,,,,,02:23.89,02:14.83,02:14.55,02:09.71,02:08.07,,,,,,0,0,0,0,0
100 IM
200 IM,,,,,,02:20.76,02:14.40,02:13.25,02:12.21,02:10.84,,,,,,0,0,0,0,0
400 IM,,,,,,04:58.61,04:47.90,04:43.72,04:43.25,04:41.82,,,,,,0,0,0,0,0
