Young Age,18
Old Age,18

Event,18,18,18,18
50 Free,00:21.97,00:22.73,0,0
100 Free,00:49.52,00:50.41,0,0
200 Free,01:48.39,01:48.26,0,0
400 Free,03:50.53,03:52.07,0,0
800 Free,08:02.68,08:02.24,0,0
1500 Free,15:08.62,15:31.93,0,0
50 Back,00:25.27,00:25.38,0,0
100 Back,00:52.94,00:56.20,0,0
200 Back,01:55.52,02:00.33,0,0
50 Breast,00:28.47,00:28.93,0,0
100 Breast,01:01.33,01:03.01,0,0
200 Breast,02:11.68,02:15.52,0,0
50 Fly,00:24.08,00:25.02,0,0
100 Fly,00:52.40,00:54.78,0,0
200 Fly,01:59.28,01:59.99,0,0
100 IM,00:58.60,,0,
200 IM,02:00.90,02:02.97,0,0
400 IM,04:15.09,04:22.85,0,0
