Young Age,13
Old Age,17

Event,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17,13,14,15,16,17
50 Free,29.34,28.83,28.23,27.92,27.64,29.93,29.40,28.80,28.47,28.19,0,0,0,0,0,0,0,0,0,0
100 Free,1:03.54,1:02.19,1:01.18,1:00.37,59.77,1:04.81,1:03.43,1:02.40,1:01.58,1:00.97,0,0,0,0,0,0,0,0,0,0
200 Free,2:17.61,2:15.00,2:13.11,2:10.18,2:08.89,2:20.37,2:17.69,2:15.77,2:12.78,2:11.47,0,0,0,0,0,0,0,0,0,0
400 Free,4:49.70,4:45.79,4:42.76,4:38.38,4:35.62,4:55.50,4:51.51,4:48.42,4:43.94,4:41.13,0,0,0,0,0,0,0,0,0,0
800 Free,9:57.28,9:48.51,9:41.83,9:30.85,9:25.20,10:09.23,10:00.27,9:54.49,9:42.27,9:36.50,0,0,0,0,0,0,0,0,0,0
1500 Free,19:04.76,18:47.93,18:35.18,18:14.10,18:03.27,19:27.66,19:10.49,18:57.48,18:35.99,18:24.94,0,0,0,0,0,0,0,0,0,0
100 Back,1:11.70,1:10.49,1:08.58,1:07.65,1:06.98,1:13.13,1:11.90,1:09.95,1:09.00,1:08.32,0,0,0,0,0,0,0,0,0,0
200 Back,2:33.78,2:30.76,2:28.43,2:25.08,2:23.64,2:36.86,2:33.78,2:31.40,2:27.98,2:26.51,0,0,0,0,0,0,0,0,0,0
100 Breast,1:22.16,1:21.18,1:20.15,1:19.72,1:18.93,1:23.81,1:22.81,1:21.76,1:21.32,1:20.51,0,0,0,0,0,0,0,0,0,0
200 Breast,2:55.24,2:54.80,2:54.28,2:52.93,2:51.22,2:58.74,2:58.30,2:57.76,2:56.39,2:54.64,0,0,0,0,0,0,0,0,0,0
100 Fly,1:11.52,1:10.42,1:08.98,1:08.08,1:07.41,1:12.95,1:11.82,1:10.37,1:09.45,1:08.76,0,0,0,0,0,0,0,0,0,0
200 Fly,2:39.92,2:39.59,2:37.55,2:31.80,2:30.30,2:43.13,2:42.78,2:40.70,2:34.84,2:33.31,0,0,0,0,0,0,0,0,0,0
200 IM,2:35.88,2:33.87,2:31.52,2:28.56,2:27.09,2:39.00,2:36.95,2:34.55,2:31.53,2:30.03,0,0,0,0,0,0,0,0,0,0
400 IM,5:29.39,5:26.58,5:17.49,5:14.83,5:11.71,5:35.98,5:33.12,5:23.85,5:21.12,5:17.94,0,0,0,0,0,0,0,0,0,0
